Timestamp,ID,AGE,GENDER,Ethnicity,Occupation,Major,MajorS,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
2017/02/13 4:09:26 PM AST,hg-1,18,F,Black/African,Undergraduate,Business,0,6.8,5.3,5.7,3.5,4.4
2017/02/13 4:10:46 PM AST,hg-2,29,F,"East Asian e.g.  Chinese, Japanese, South-East Asian",PhD,Computer Science,1,4.5,2.7,2.7,5.6,6.3
2017/02/13 4:16:14 PM AST,hg-3,25,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Computer Science,1,4.1,3.9,3.4,6,6.3
2017/02/13 6:01:36 PM AST,hg-4,25,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Computer Science,1,4.8,5.7,5.3,2.4,4.4
2017/02/21 1:09:13 PM AST,hg-5,37,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Interdisciplinary Studies Degree,0,3.8,6.3,4.9,1.8,5.6
2017/02/28 6:10:20 PM AST,hg-5-s,25,F,White/Caucasian/European,Master,Architecture,0,2.8,5.8,4.2,3.6,5.9
2017/02/21 6:03:57 PM AST,hg-6,20,F,White/Caucasian/European,Undergraduate,Communication,0,3.8,4.8,4.1,4.1,4.4
2017/02/28 6:31:49 PM AST,hg-6-s,28,F,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Architecture,0,3,6.1,4.9,4,4.7
2017/02/22 11:07:39 AM AST,hg-7,22,M,Black/African,Undergraduate,Undeclared,0,4.6,3.4,5.3,3.9,4.7
2017/02/28 6:29:51 PM AST,hg-7-s,25,F,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Architecture,0,5.6,5.8,5,2,5.3
2017/02/22 11:06:07 AM AST,hg-8,25,F,White/Caucasian/European,Faculty/Staff,Public Health,0,2.1,6.7,6,5.6,5.4
2017/02/22 6:05:43 PM AST,hg-9,23,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Computer Science,1,5.6,6.2,5.8,3.3,5.6
2017/02/22 6:04:52 PM AST,hg-10,24,F,Black/African,PhD,Electrical Engineering,1,4.1,5,4.4,3.5,3.6
2017/02/26 3:39:45 PM AST,lg-22,38,F,White/Caucasian/European,ANALYTIC CONSULTANT BANKING,DSBA,1,5.1,5.1,6.1,3.5,5.8
2017/02/26 3:34:12 PM AST,hg-12,57,F,White/Caucasian/European,Master,DSBA,1,3.9,6.1,6.1,3.8,5.2
2017/02/26 3:33:47 PM AST,hg-13,22,F,"East Asian e.g.  Chinese, Japanese, South-East Asian",Master,Data Science and Business Analytics,1,3,5.3,5.1,2.8,4
2017/02/26 3:41:53 PM AST,hg-14,39,M,"Indian, Pakistani, Bangladeshi, or any other Asian",BUSINESS SYSTEMS CONSULTANT,Computer Science,1,6.1,6.7,5.1,1.4,4.5
2017/03/15 10:11:54 AM AST,hg-15,23,F,White/Caucasian/European,Master,Electrical Engineering,1,5,5.7,5.7,4.1,5.5
2017/03/15 10:12:44 AM AST,hg-16,28,F,Turkish,PhD,SIS,1,5.6,5.8,6,4.5,4.9
2017/03/15 10:10:47 AM AST,hg-17,31,F,White/Caucasian/European,PhD,Interdisciplinary Studies Degree,0,5.8,5.9,5.1,3.9,3.9
2017/02/16 6:12:43 PM AST,ht-1,30,F,Middle East / Persian,Master,Computer Science;Architecture,1,4.6,5.7,4.3,3.8,5.8
2017/02/22 4:43:24 PM AST,ht-1-s,26,M,White/Caucasian/European,Master,Architecture,0,5,5.9,4.9,2.8,5.7
2017/02/17 4:16:02 PM AST,ht-2,23,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Bioinformatics,1,3.9,3.6,3.6,4.6,6.2
2017/02/22 4:47:31 PM AST,ht-2-s,25,M,White/Caucasian/European,Master,Architecture/IT,1,4,5.4,4.4,2.5,5.7
2017/02/17 6:02:20 PM AST,ht-3,19,M,White/Caucasian/European,Undergraduate,Earth and Environmental Science,0,5.1,4.2,5,2.6,4.2
2017/02/23 2:02:19 PM AST,ht-3-s,23,M,White/Caucasian/European,Master,Architecture,0,5.9,5.3,5.3,3.5,6.4
2017/02/17 6:51:36 PM AST,ht-4,29,F,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Computer Science,1,3.9,5.9,6.3,2.3,5.1
2017/02/24 1:08:51 PM AST,ht-5,27,F,Black/African,Undergraduate,Business,0,3.5,4.8,4.7,5.4,3.6
2017/02/26 1:21:03 PM AST,ht-6,28,F,"East Asian e.g.  Chinese, Japanese, South-East Asian",Master,Computer Science,1,4.1,5.3,5.3,3.1,5.2
2017/02/26 1:18:29 PM AST,ht-7,24,F,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Business;Computer Science,1,3.9,5.2,5.6,4.4,4.1
2017/02/26 1:20:53 PM AST,ht-8,24,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Business;Computer Science,1,4.5,5.7,4.8,1.9,5.2
2017/02/26 1:26:33 PM AST,ht-9,32,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Data Science,1,5.4,6.4,6.6,1.3,5.9
2017/03/01 6:06:16 PM AST,ht-10,21,F,White/Caucasian/European,Undergraduate,Communication,0,3.3,6.4,5.4,2.4,4.9
2017/03/02 11:08:55 AM AST,ht-11,21,F,White/Caucasian/European,Undergraduate,Psychology,0,4.9,5.2,5.6,5.1,5
2017/03/02 4:13:54 PM AST,ht-12,31,F,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Data Science and Business Analytics,1,5,5.3,3.9,4.4,4.2
2017/03/02 4:15:34 PM AST,ht-13,40,F,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Datascience and business analytics,1,4.5,5,3.8,4.6,5.2
2017/03/03 1:18:25 PM AST,ht-14,28,F,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Data Science and Business Analytics,1,4.3,4.9,5.3,4.3,4.7
2017/03/06 1:01:15 PM AST,ht-15,25,M,White/Caucasian/European,Undergraduate,Post-Bac,0,4.3,4.6,3.4,4.8,5.4
2017/03/14 10:13:57 AM AST,ht-16,30,M,"East Asian e.g.  Chinese, Japanese, South-East Asian",PhD,Bioinformatics,1,3.9,4.3,4.1,1.8,5.3
2017/03/14 10:13:51 AM AST,ht-17,23,F,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Electrical and Computer Engineering,1,4.5,5.1,3.7,4.3,4.7
2017/03/14 10:10:58 AM AST,ht-18,25,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Computer Science,1,2.8,5.9,3.9,5.9,5
2017/02/10 1:06:48 PM AST,lg-1,18,M,Hispanic/Latino,Undergraduate,Business,0,3.9,4.8,4.9,4.8,5.7
2017/02/23 4:09:08 PM AST,lg-1-s,25,F,White/Caucasian/European,Master,Architecture,0,4.8,5.2,6,4.4,4.9
2017/02/10 4:04:08 PM AST,lg-2,21,M,"East Asian e.g.  Chinese, Japanese, South-East Asian",Undergraduate,History,0,3.8,6.4,4,5.1,4.4
2017/02/10 4:04:49 PM AST,lg-3,20,F,White/Caucasian/European,Undergraduate,Business,0,3.9,5.8,4.1,4.5,4.4
2017/02/13 11:06:04 AM AST,lg-4,20,F,Black/African,Undergraduate,Social Work,0,5.9,5.6,6.2,3.6,5
2017/02/20 1:09:32 PM AST,lg-5,28,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Interdisciplinary Studies Degree;HEALTH INFORMATICS,1,5.5,6.9,6.7,1.4,6.2
2017/02/20 1:10:38 PM AST,lg-6,69,M,White/Caucasian/European,Faculty/Staff,Architecture & Business,0,5.4,5.8,5.1,3.1,6.7
2017/02/20 6:20:35 PM AST,lg-7,37,M,White/Caucasian/European,Undergraduate,GEOGRAPHY,0,2.6,5.6,4.9,3.5,4.4
2017/02/20 6:21:36 PM AST,lg-8,27,M,Native American/American Indian,Undergraduate,Geography,0,4.8,5.2,4.8,3.5,5
2017/02/20 6:21:14 PM AST,lg-9,25,F,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Information Technology,1,2.8,3.9,3.7,3.8,5.2
2017/02/26 2:29:28 PM AST,lg-10,24,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Business;Computer Science;Data Science and Business Analytics,1,4.6,5.7,4.1,3.4,5
2017/02/26 2:30:02 PM AST,lg-11,23,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Data Science and Business Analytics,1,5.6,6.1,6.1,2.6,5.6
2017/02/26 2:29:36 PM AST,lg-12,25,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Interdisciplinary Studies Degree,0,4.3,4.9,5,3.6,5.4
2017/02/26 2:31:05 PM AST,lg-13,27,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,DATA SCIENCE AND BUSINESS ANALYTICS,1,4.8,4.6,4.7,4.6,5.3
2017/03/03 11:15:44 AM AST,lg-14,27,F,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Business,0,5.3,6.7,5.7,1.6,5.6
2017/03/03 11:15:48 AM AST,lg-15,30,F,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,DSBA Program,1,5.4,5.8,5.9,3.1,5.3
2017/03/03 11:24:51 AM AST,lg-16,27,F,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Data Science an Business Analytics,1,4.4,6.4,4.3,3.5,5
2017/03/03 11:44:12 AM AST,lg-17,27,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,DSBA,1,4.5,5.9,5.6,3.1,4.7
2017/03/15 3:07:56 PM AST,lg-18,22,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Computer Science,1,3.6,5.7,5.8,3.4,4.7
2017/03/15 3:10:35 PM AST,lg-19,25,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Computer Science,1,3.4,4.2,4.8,5,6.1
2017/03/15 3:14:44 PM AST,lg-20,27,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Computer Science,1,4.5,5.7,4.6,3.4,5
2017/03/15 3:17:54 PM AST,lg-21,22,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Computer Science,1,4.3,5.6,5.6,4.1,4.6
2017/02/14 4:07:07 PM AST,lt-1,19,M,White/Caucasian/European,Undergraduate,Business,0,3.8,3.7,4.7,2.4,5.6
2017/02/14 6:04:59 PM AST,lt-2,19,M,White/Caucasian/European,Undergraduate,Business;Economics,0,2.5,4.4,5.2,3.4,4.6
2017/02/22 2:19:23 PM AST,lt-2-s,24,M,White/Caucasian/European,Master,Computer Science;Architecture,1,3.3,4.8,5,2.6,4.6
2017/02/16 1:01:35 PM AST,lt-3,46,M,White/Caucasian/European,Master,Computer Science,1,3.6,4.4,3.4,5,5.9
2017/02/16 6:10:08 PM AST,lt-4,25,F,Multi-Racial,Undergraduate,Interdisciplinary Studies Degree,0,2.3,3.8,4.9,5.1,4.5
2017/02/16 6:09:22 PM AST,lt-5,25,M,White/Caucasian/European,Undergraduate,Computer Science,1,2.4,3.6,3.4,5.1,3
2017/02/23 11:09:59 AM AST,lt-6,19,F,White/Caucasian/European,Undergraduate,Communication,0,5.1,5.7,5.3,5.3,4.4
2017/02/23 4:06:36 PM AST,lt-7,24,F,Black/African,Undergraduate,Social Work,0,4.3,6.6,4.2,3.5,5.6
2017/02/23 4:06:26 PM AST,lt-8,20,M,White/Caucasian/European,Undergraduate,Computer Science,1,2.6,6.7,3.6,1.6,4.3
2017/02/23 6:00:14 PM AST,lt-9,21,F,Black/African,Undergraduate,Psychology;Chemistry,0,2.3,4.8,3.9,5.8,5.5
2017/02/23 6:00:43 PM AST,lt-10,21,F,White/Caucasian/European,Undergraduate,Business,0,4.8,5.3,5,4.4,3
2017/02/27 6:43:59 PM AST,lt-11,22,F,White/Caucasian/European,Undergraduate,Business;Psychology,0,6,6,4.4,4.8,6
2017/02/28 1:02:50 PM AST,lt-12,21,F,White/Caucasian/European,Undergraduate,Pre-Public Health,0,3.8,5.1,3.2,4.4,5
2017/03/01 11:23:56 AM AST,lt-13,23,F,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,DATA SCIENCE AND BUSINESS ANALYTICS,1,5.4,6.7,5.9,4.3,5.1
2017/03/01 11:22:44 AM AST,lt-14,22,F,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,data science and business analytics,1,5.6,5,5.6,3.1,5.1
2017/03/15 12:10:05 PM AST,lt-15,46,F,White/Caucasian/European,PhD,Computer Science,1,4.4,4.9,6.1,3.9,5.8
2017/03/15 12:13:31 PM AST,lt-17,24,M,"Indian, Pakistani, Bangladeshi, or any other Asian",Master,Computer Science,1,3.4,5.7,5.3,2.9,4.4
2017/03/15 12:23:44 PM AST,lt-18,28,F,Middle Eastern,PhD,Computer Science,1,4.4,5.4,3.6,4.3,5
